,1,2,3,4,5,6,7,8,9,10,11,12
A,CTRL_NEGATIVE,LHS_093,LHS_094,LHS_095,LHS_096,LHS_097,LHS_098,LHS_099,LHS_100,LHS_101,LHS_102,CTRL_NEGATIVE
B,LHS_103,LHS_104,LHS_105,LHS_106,LHS_107,LHS_108,LHS_109,LHS_110,LHS_111,LHS_112,LHS_113,LHS_114
C,LHS_115,LHS_116,LHS_117,LHS_118,LHS_119,LHS_120,LHS_121,LHS_122,LHS_123,LHS_124,LHS_125,LHS_126
D,LHS_127,LHS_128,LHS_129,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,CTRL_MEDIA,,,,,,,,,,,CTRL_MEDIA
