Plate,Well,Condition_ID,K₂HPO₄·3H₂O,NaH₂PO₄·H₂O,(NH₄)₂SO₄,Sodium citrate,CoCl₂·6H₂O,NdCl₃·6H₂O,Succinate,Methanol,PQQ
Plate_1,G3,LHS_073,20.0 mM,20.0 mM,1.0 mM,1.0 mM,4.641589 µM,0.5 µM,0.0 mM,36.042171 mM,46.415888 nM
Plate_1,G4,LHS_074,1.709976 mM,20.0 mM,4.641589 mM,10.0 mM,4.641589 µM,4.728708 µM,150.0 mM,36.042171 mM,10.0 nM
Plate_1,G5,LHS_075,20.0 mM,0.5 mM,1.0 mM,10.0 mM,0.215443 µM,1.057371 µM,1.5 mM,36.042171 mM,46.415888 nM
Plate_1,G6,LHS_076,0.5 mM,1.709976 mM,21.544347 mM,1.0 mM,0.215443 µM,2.236068 µM,150.0 mM,500.0 mM,215.443469 nM
Plate_1,G7,LHS_077,1.709976 mM,5.848035 mM,100.0 mM,0.01 mM,4.641589 µM,0.5 µM,0.0 mM,500.0 mM,215.443469 nM
Plate_1,G8,LHS_078,5.848035 mM,0.5 mM,100.0 mM,0.1 mM,0.215443 µM,10.0 µM,150.0 mM,500.0 mM,0.0 nM
Plate_1,G9,LHS_079,20.0 mM,5.848035 mM,4.641589 mM,0.01 mM,0.01 µM,0.5 µM,0.0 mM,15.0 mM,215.443469 nM
Plate_1,H10,LHS_091,20.0 mM,1.709976 mM,100.0 mM,0.01 mM,100.0 µM,1.057371 µM,1.5 mM,500.0 mM,0.0 nM
Plate_1,H11,LHS_092,0.5 mM,5.848035 mM,4.641589 mM,10.0 mM,100.0 µM,4.728708 µM,1.5 mM,208.089573 mM,46.415888 nM
Plate_1,H2,LHS_083,20.0 mM,5.848035 mM,21.544347 mM,1.0 mM,0.215443 µM,10.0 µM,150.0 mM,86.60254 mM,10.0 nM
Plate_1,H3,LHS_084,20.0 mM,0.5 mM,4.641589 mM,0.01 mM,0.01 µM,2.236068 µM,1.5 mM,86.60254 mM,46.415888 nM
Plate_1,H4,LHS_085,0.5 mM,1.709976 mM,4.641589 mM,1.0 mM,0.01 µM,1.057371 µM,0.0 mM,208.089573 mM,0.0 nM
Plate_1,H5,LHS_086,1.709976 mM,1.709976 mM,21.544347 mM,0.1 mM,0.215443 µM,4.728708 µM,150.0 mM,86.60254 mM,1000.0 nM
Plate_1,H6,LHS_087,5.848035 mM,5.848035 mM,100.0 mM,0.1 mM,0.01 µM,0.5 µM,0.0 mM,500.0 mM,46.415888 nM
Plate_1,H7,LHS_088,0.5 mM,20.0 mM,21.544347 mM,0.1 mM,100.0 µM,1.057371 µM,1.5 mM,86.60254 mM,46.415888 nM
Plate_1,H8,LHS_089,0.5 mM,5.848035 mM,4.641589 mM,0.1 mM,4.641589 µM,2.236068 µM,150.0 mM,15.0 mM,0.0 nM
Plate_1,H9,LHS_090,0.5 mM,0.5 mM,4.641589 mM,1.0 mM,100.0 µM,10.0 µM,150.0 mM,15.0 mM,46.415888 nM
Plate_2,A10,LHS_101,1.709976 mM,1.709976 mM,4.641589 mM,0.1 mM,100.0 µM,4.728708 µM,150.0 mM,208.089573 mM,10.0 nM
Plate_2,A11,LHS_102,5.848035 mM,0.5 mM,21.544347 mM,10.0 mM,0.01 µM,1.057371 µM,1.5 mM,500.0 mM,0.0 nM
Plate_2,A2,LHS_093,1.709976 mM,1.709976 mM,100.0 mM,0.1 mM,0.01 µM,10.0 µM,150.0 mM,500.0 mM,215.443469 nM
Plate_2,A3,LHS_094,0.5 mM,5.848035 mM,4.641589 mM,0.01 mM,0.215443 µM,1.057371 µM,0.0 mM,15.0 mM,46.415888 nM
Plate_2,A4,LHS_095,20.0 mM,0.5 mM,1.0 mM,1.0 mM,0.01 µM,2.236068 µM,1.5 mM,86.60254 mM,46.415888 nM
Plate_2,A5,LHS_096,0.5 mM,5.848035 mM,21.544347 mM,0.1 mM,100.0 µM,0.5 µM,150.0 mM,86.60254 mM,0.0 nM
Plate_2,A6,LHS_097,20.0 mM,0.5 mM,4.641589 mM,10.0 mM,0.215443 µM,1.057371 µM,1.5 mM,15.0 mM,46.415888 nM
Plate_2,A7,LHS_098,5.848035 mM,1.709976 mM,1.0 mM,1.0 mM,4.641589 µM,0.5 µM,1.5 mM,15.0 mM,10.0 nM
Plate_2,A8,LHS_099,0.5 mM,1.709976 mM,4.641589 mM,0.01 mM,100.0 µM,2.236068 µM,150.0 mM,208.089573 mM,0.0 nM
Plate_2,A9,LHS_100,0.5 mM,0.5 mM,4.641589 mM,0.1 mM,100.0 µM,2.236068 µM,0.0 mM,208.089573 mM,0.0 nM
Plate_2,B1,LHS_103,1.709976 mM,1.709976 mM,21.544347 mM,10.0 mM,100.0 µM,1.057371 µM,0.0 mM,208.089573 mM,0.0 nM
Plate_2,B10,LHS_112,0.5 mM,5.848035 mM,4.641589 mM,0.01 mM,0.01 µM,10.0 µM,150.0 mM,15.0 mM,1000.0 nM
Plate_2,B11,LHS_113,5.848035 mM,20.0 mM,1.0 mM,1.0 mM,100.0 µM,1.057371 µM,0.0 mM,15.0 mM,215.443469 nM
Plate_2,B12,LHS_114,1.709976 mM,0.5 mM,100.0 mM,1.0 mM,0.01 µM,10.0 µM,1.5 mM,208.089573 mM,46.415888 nM
Plate_2,B2,LHS_104,1.709976 mM,0.5 mM,4.641589 mM,0.1 mM,4.641589 µM,4.728708 µM,1.5 mM,15.0 mM,10.0 nM
