,1,2,3,4,5,6,7,8,9,10,11,12
A,CTRL_NEGATIVE,LHS_001,LHS_002,LHS_003,LHS_004,LHS_005,LHS_006,LHS_007,LHS_008,LHS_009,LHS_010,CTRL_NEGATIVE
B,LHS_011,LHS_012,LHS_013,LHS_014,LHS_015,LHS_016,LHS_017,LHS_018,LHS_019,LHS_020,LHS_021,LHS_022
C,LHS_023,LHS_024,LHS_025,LHS_026,LHS_027,LHS_028,LHS_029,LHS_030,LHS_031,LHS_032,LHS_033,LHS_034
D,LHS_035,LHS_036,LHS_037,LHS_038,LHS_039,LHS_040,LHS_041,LHS_042,LHS_043,LHS_044,LHS_045,LHS_046
E,LHS_047,LHS_048,LHS_049,LHS_050,LHS_051,LHS_052,LHS_053,LHS_054,LHS_055,LHS_056,LHS_057,LHS_058
F,LHS_059,LHS_060,LHS_061,LHS_062,LHS_063,LHS_064,LHS_065,LHS_066,LHS_067,LHS_068,LHS_069,LHS_070
G,LHS_071,LHS_072,LHS_073,LHS_074,LHS_075,LHS_076,LHS_077,LHS_078,LHS_079,LHS_080,LHS_081,LHS_082
H,CTRL_MEDIA,LHS_083,LHS_084,LHS_085,LHS_086,LHS_087,LHS_088,LHS_089,LHS_090,LHS_091,LHS_092,CTRL_MEDIA
